Code,Area,Year,Affordable Housing Supply
E09000032,Wandsworth,2007-08,310
E09000033,Westminster,2007-08,178
E12000007,London,2007-08,"15,062"
E92000001,England,2007-08,"53,176"
E09000001,City of London,2008-09,10
E09000002,Barking and Dagenham,2008-09,238
E09000003,Barnet,2008-09,316
E09000004,Bexley,2008-09,152
E09000005,Brent,2008-09,648
E09000006,Bromley,2008-09,340
E09000007,Camden,2008-09,317
E09000008,Croydon,2008-09,604
E09000009,Ealing,2008-09,531
E09000010,Enfield,2008-09,196
E09000011,Greenwich,2008-09,477
E09000012,Hackney,2008-09,994
E09000013,Hammersmith and Fulham,2008-09,268
E09000014,Haringey,2008-09,283
E09000015,Harrow,2008-09,237
E09000016,Havering,2008-09,635
E09000017,Hillingdon,2008-09,336
E09000018,Hounslow,2008-09,550
E09000019,Islington,2008-09,363
E09000020,Kensington and Chelsea,2008-09,161
E09000021,Kingston upon Thames,2008-09,40
E09000022,Lambeth,2008-09,456
E09000023,Lewisham,2008-09,149
E09000024,Merton,2008-09,222
E09000025,Newham,2008-09,567
E09000026,Redbridge,2008-09,244
E09000027,Richmond upon Thames,2008-09,153
E09000028,Southwark,2008-09,473
E09000029,Sutton,2008-09,426
E09000030,Tower Hamlets,2008-09,"1,249"
E09000031,Waltham Forest,2008-09,561
E09000032,Wandsworth,2008-09,567
E09000033,Westminster,2008-09,312
E12000007,London,2008-09,"13,293"
E92000001,England,2008-09,"55,722"
E09000001,City of London,2009-10,50
E09000002,Barking and Dagenham,2009-10,189
E09000003,Barnet,2009-10,214
E09000004,Bexley,2009-10,284
E09000005,Brent,2009-10,557
E09000006,Bromley,2009-10,323
E09000007,Camden,2009-10,225
E09000008,Croydon,2009-10,"1,037"
E09000009,Ealing,2009-10,405
E09000010,Enfield,2009-10,216
E09000011,Greenwich,2009-10,414
E09000012,Hackney,2009-10,"1,263"
E09000013,Hammersmith and Fulham,2009-10,573
E09000014,Haringey,2009-10,304
E09000015,Harrow,2009-10,299
E09000016,Havering,2009-10,102
E09000017,Hillingdon,2009-10,410
E09000018,Hounslow,2009-10,455
E09000019,Islington,2009-10,370
E09000020,Kensington and Chelsea,2009-10,35
E09000021,Kingston upon Thames,2009-10,80
E09000022,Lambeth,2009-10,705
E09000023,Lewisham,2009-10,348
E09000024,Merton,2009-10,95
E09000025,Newham,2009-10,721
E09000026,Redbridge,2009-10,334
E09000027,Richmond upon Thames,2009-10,62
E09000028,Southwark,2009-10,662
E09000029,Sutton,2009-10,137
E09000030,Tower Hamlets,2009-10,"1,995"
E09000031,Waltham Forest,2009-10,259
E09000032,Wandsworth,2009-10,281
E09000033,Westminster,2009-10,471
E12000007,London,2009-10,"13,871"
E92000001,England,2009-10,"58,288"
E09000001,City of London,2010-11,0
E09000002,Barking and Dagenham,2010-11,284
E09000003,Barnet,2010-11,392
E09000004,Bexley,2010-11,317
E09000005,Brent,2010-11,703
E09000006,Bromley,2010-11,505
E09000007,Camden,2010-11,361
E09000008,Croydon,2010-11,761
E09000009,Ealing,2010-11,262
E09000010,Enfield,2010-11,555
E09000011,Greenwich,2010-11,"1,362"
E09000012,Hackney,2010-11,698
E09000013,Hammersmith and Fulham,2010-11,65
E09000014,Haringey,2010-11,272
E09000015,Harrow,2010-11,312
E09000016,Havering,2010-11,174
E09000017,Hillingdon,2010-11,383
E09000018,Hounslow,2010-11,681
E09000019,Islington,2010-11,98
E09000020,Kensington and Chelsea,2010-11,29
E09000021,Kingston upon Thames,2010-11,84
E09000022,Lambeth,2010-11,"1,014"
E09000023,Lewisham,2010-11,528
E09000024,Merton,2010-11,116
E09000025,Newham,2010-11,731
E09000026,Redbridge,2010-11,252
E09000027,Richmond upon Thames,2010-11,45
E09000028,Southwark,2010-11,828
E09000029,Sutton,2010-11,235
E09000030,Tower Hamlets,2010-11,"1,268"
E09000031,Waltham Forest,2010-11,490
E09000032,Wandsworth,2010-11,239
E09000033,Westminster,2010-11,577
E12000007,London,2010-11,"14,621"
E92000001,England,2010-11,"61,089"
E09000001,City of London,2011-12,0
E09000002,Barking and Dagenham,2011-12,384
E09000003,Barnet,2011-12,666
E09000004,Bexley,2011-12,357
E09000005,Brent,2011-12,852
E09000006,Bromley,2011-12,394
E09000007,Camden,2011-12,236
E09000008,Croydon,2011-12,583
E09000009,Ealing,2011-12,673
E09000010,Enfield,2011-12,893
E09000011,Greenwich,2011-12,503
E09000012,Hackney,2011-12,"1,033"
E09000013,Hammersmith and Fulham,2011-12,169
E09000014,Haringey,2011-12,479
E09000015,Harrow,2011-12,403
E09000016,Havering,2011-12,456
E09000017,Hillingdon,2011-12,665
E09000018,Hounslow,2011-12,342
E09000019,Islington,2011-12,898
E09000020,Kensington and Chelsea,2011-12,60
E09000021,Kingston upon Thames,2011-12,117
E09000022,Lambeth,2011-12,687
E09000023,Lewisham,2011-12,915
E09000024,Merton,2011-12,476
E09000025,Newham,2011-12,812
E09000026,Redbridge,2011-12,32
E09000027,Richmond upon Thames,2011-12,244
E09000028,Southwark,2011-12,772
E09000029,Sutton,2011-12,265
